chord,freq,contains,,data,,,,
,,,,V,,,,
,,,,#iio7,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,VI,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I+,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,VI,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,VI,,,,
,,,,VI,,,,
,,,,iv7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,V,,,,
,,,,VI,,,,
,,,,i,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,IV,,,,
,,,,viio7,,,,
,,,,III,,,,
,,,,iio,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,III,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,iii,,,,
,,,,iii,,,,
,,,,#viio,,,,
,,,,vi,,,,
,,,,#io7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V+,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V+,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,vii%7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vii%7,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,V,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,viio,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,IVM7,,,,
,,,,ii7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I+,,,,
,,,,IV,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,iii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vii%7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,VI,,,,
,,,,V,,,,
,,,,VI,,,,
,,,,i,,,,
,,,,V,,,,
,,,,VI,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,iv,,,,
,,,,VI,,,,
,,,,#viio,,,,
,,,,iv,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,III,,,,
,,,,III,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,#viio,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,vi,,,,
,,,,#viio,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,V,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,III,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,V,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V+,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,iii,,,,
,,,,iii,,,,
,,,,iii,,,,
,,,,#viio,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,iiio,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,iii,,,,
,,,,#iv,,,,
,,,,I,,,,
,,,,#vo,,,,
,,,,I,,,,
,,,,vii,,,,
,,,,vi,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,vii,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,iii7,,,,
,,,,#ivo,,,,
,,,,#vii%7,,,,
,,,,V,,,,
,,,,#viio,,,,
,,,,#viio,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,#vii%7,,,,
,,,,V,,,,
,,,,vii%7,,,,
,,,,I,,,,
,,,,#viio,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,vii%7,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,vii%7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,,,,,
,,,,ii,,,,
,,,,#viio,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,,,,,
,,,,V,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,i,,,,
,,,,i,,,,
,,,,,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,i,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,vi,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,iii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi7,,,,
,,,,iii,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi7,,,,
,,,,iii,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,vii%7,,,,
,,,,#vii%7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,vi7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,vii%7,,,,
,,,,#vii%7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,vi,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,viio,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,vi,,,,
,,,,IV,,,,
,,,,vi,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I+,,,,
,,,,#vii%7,,,,
,,,,#vii%7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi7,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,vi,,,,
,,,,iii,,,,
,,,,iii,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,iii,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,iii,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,#viio,,,,
,,,,viio,,,,
,,,,vi7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,vii%7,,,,
,,,,#vii%7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,#viio,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,#vii%7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I+,,,,
,,,,#viio,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,#viio7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,vi,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V,,,,
,,,,vi7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V,,,,
,,,,V,,,,
,,,,ii,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,IM7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,vii%7,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,IV,,,,
,,,,ii,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,viio,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,ii7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,vi,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,vi7,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,V,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,V,,,,
,,,,,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,iii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,vi,,,,
,,,,iiio,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,ii7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,I,,,,
,,,,ii,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,IV,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,V,,,,
,,,,i,,,,
,,,,III,,,,
,,,,V7,,,,
,,,,VI,,,,
,,,,VI,,,,
,,,,III,,,,
,,,,#viio7,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,#viio7,,,,
,,,,V7,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,#viio,,,,
,,,,i,,,,
,,,,i,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,#viio7,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,VI,,,,
,,,,VI,,,,
,,,,V,,,,
,,,,V,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,VI,,,,
,,,,VI,,,,
,,,,V,,,,
,,,,viio,,,,
,,,,viio,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,v,,,,
,,,,v,,,,
,,,,V,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,V7,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,v,,,,
,,,,v,,,,
,,,,V,,,,
,,,,V,,,,
,,,,#viio7,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,i,,,,
,,,,i,,,,
,,,,V,,,,
,,,,i,,,,
,,,,iv,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,It,,,,
,,,,V,,,,
,,,,It,,,,
,,,,V,,,,
,,,,i,,,,
,,,,VIM7,,,,
,,,,V,,,,
,,,,It,,,,
,,,,V,,,,
,,,,It,,,,
,,,,V,,,,
,,,,V,,,,
,,,,i,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,Ger,,,,
,,,,V,,,,
,,,,i,,,,
,,,,V,,,,
,,,,V7,,,,
,,,,i,,,,
,,,,ii,,,,
,,,,V7,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,V,,,,
,,,,V,,,,
,,,,I,,,,
,,,,I,,,,
,,,,,,,,
,,,,I,,,,
,,,,I,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,V,,,,
,,,,#viio,,,,
,,,,IV,,,,
,,,,vii%7,,,,
,,,,V7,,,,
,,,,ii,,,,
,,,,viio,,,,
,,,,I,,,,
,,,,IV,,,,
,,,,I,,,,
,,,,ii7,,,,
,,,,iv7,,,,
,,,,V,,,,
