chord,measure,beat,totbeat,op,no,mov,length,global_key,is_major,unified_chord,Case
VI.I,96,1,381,74,10,1,2,Eb,TRUE,I,TRUE
I6,97,1,385,74,10,1,2,Eb,TRUE,I,TRUE
I[I,100,1,397,74,10,1,2,Eb,TRUE,I,TRUE
I6],101,1,401,74,10,1,2,Eb,TRUE,I,TRUE
I6,104,1,413,74,10,1,2,Eb,TRUE,I,TRUE
I,105,1,417,74,10,1,1,Eb,TRUE,I,TRUE
I6,106,1,421,74,10,1,1.5,Eb,TRUE,I,TRUE
I,107,1,425,74,10,1,1.5,Eb,TRUE,I,TRUE
I6,108,1,429,74,10,1,1.5,Eb,TRUE,I,TRUE
I,108,2.5,430.5,74,10,1,0.5,Eb,TRUE,I,TRUE
I\\\\,109,1,433,74,10,1,4,Eb,TRUE,I,TRUE
I6,110,1,437,74,10,1,4,Eb,TRUE,I,TRUE
I64,111,1,441,74,10,1,4,Eb,TRUE,I,TRUE
I,139,1,553,74,10,1,4,Eb,TRUE,I,TRUE
I,141,1,561,74,10,1,2,Eb,TRUE,I,TRUE
I[I,142,1,565,74,10,1,2,Eb,TRUE,I,TRUE
I6,142,3,567,74,10,1,1,Eb,TRUE,I,TRUE
I(#2),145,1,577,74,10,1,1,Eb,TRUE,I,TRUE
I],145,2,578,74,10,1,1,Eb,TRUE,I,TRUE
I,146,1,581,74,10,1,2,Eb,TRUE,I,TRUE
I,149,1,593,74,10,1,2,Eb,TRUE,I,TRUE
I6,150,1,597,74,10,1,2,Eb,TRUE,I,TRUE
I,152,1,605,74,10,1,2,Eb,TRUE,I,TRUE
I,155,3,619,74,10,1,1,Eb,TRUE,I,TRUE
I,169,1,673,74,10,1,2,Eb,TRUE,I,TRUE
I,175,3,699,74,10,1,1,Eb,TRUE,I,TRUE
I\\\\,176,1,701,74,10,1,2.5,Eb,TRUE,I,TRUE
I,177,3,707,74,10,1,1,Eb,TRUE,I,TRUE
I,178,1,709,74,10,1,12,Eb,TRUE,I,TRUE
I6,181,1,721,74,10,1,2,Eb,TRUE,I,TRUE
I6,182,1,725,74,10,1,2,Eb,TRUE,I,TRUE
I,182,3,727,74,10,1,1,Eb,TRUE,I,TRUE
I6,184,1,733,74,10,1,3,Eb,TRUE,I,TRUE
I(4),188,1,749,74,10,1,1,Eb,TRUE,I,TRUE
I,188,2,750,74,10,1,2,Eb,TRUE,I,TRUE
I,192,1,765,74,10,1,3,Eb,TRUE,I,TRUE
I,196,1,781,74,10,1,2.5,Eb,TRUE,I,TRUE
I,196,4,784,74,10,1,1.5,Eb,TRUE,I,TRUE
I,198,1.5,789.5,74,10,1,2,Eb,TRUE,I,TRUE
I,199,1.5,793.5,74,10,1,2,Eb,TRUE,I,TRUE
I,199,4.5,796.5,74,10,1,0.5,Eb,TRUE,I,TRUE
I,200,1,797,74,10,1,18.5,Eb,TRUE,I,TRUE
I,204,4,816,74,10,1,1,Eb,TRUE,I,TRUE
I,205,1,817,74,10,1,2,Eb,TRUE,I,TRUE
I,218,1,869,74,10,1,4,Eb,TRUE,I,TRUE
I,220,1,877,74,10,1,4,Eb,TRUE,I,TRUE
I(9),240,1,957,74,10,1,1,Eb,TRUE,I,TRUE
I,240,2,958,74,10,1,2,Eb,TRUE,I,TRUE
I,242,1,965,74,10,1,3,Eb,TRUE,I,TRUE
I,244,1,973,74,10,1,3,Eb,TRUE,I,TRUE
I\\\\,246,1,981,74,10,1,2.5,Eb,TRUE,I,TRUE
I,246,4,984,74,10,1,1,Eb,TRUE,I,TRUE
I,247,1,985,74,10,1,0.5,Eb,TRUE,I,TRUE
I,247,2,986,74,10,1,1,Eb,TRUE,I,TRUE
I,247,3,987,74,10,1,0.5,Eb,TRUE,I,TRUE
I,248,1.5,989.5,74,10,1,2,Eb,TRUE,I,TRUE
I,249,1.5,993.5,74,10,1,2,Eb,TRUE,I,TRUE
I,250,2,998,74,10,1,1.5,Eb,TRUE,I,TRUE
I,251,1,1001,74,10,1,15,Eb,TRUE,I,TRUE
I,255,1,1017,74,10,1,15,Eb,TRUE,I,TRUE
I,259,1,1033,74,10,1,2,Eb,TRUE,I,TRUE
I6,259,3,1035,74,10,1,1,Eb,TRUE,I,TRUE
I,260,1,1037,74,10,1,3,Eb,TRUE,I,TRUE
I,261,1,1041,74,10,1,2,Eb,TRUE,I,TRUE
I\\\\,262,1,1045,74,10,1,4,Eb,TRUE,I,TRUE
.Ab.I[I64,1,1,1,74,10,2,3,Ab,TRUE,I,TRUE
I],3,2,5,74,10,2,0.5,Ab,TRUE,I,TRUE
I,4,1.5,6,74,10,2,0.5,Ab,TRUE,I,TRUE
I6,4,2,6.5,74,10,2,0.5,Ab,TRUE,I,TRUE
I,6,1,8.5,74,10,2,1.5,Ab,TRUE,I,TRUE
I6,10,1.5,15,74,10,2,0.5,Ab,TRUE,I,TRUE
I,11,1,16,74,10,2,1,Ab,TRUE,I,TRUE
I64,11,2,17,74,10,2,0.25,Ab,TRUE,I,TRUE
I6,17,1,25,74,10,2,0.25,Ab,TRUE,I,TRUE
I[I6,18,1,26.5,74,10,2,0.5,Ab,TRUE,I,TRUE
I,20,1,29.5,74,10,2,0.5,Ab,TRUE,I,TRUE
I],22,1,32.5,74,10,2,0.5,Ab,TRUE,I,TRUE
I\\\\,24,1,35.5,74,10,2,1,Ab,TRUE,I,TRUE
I,54,1,80.5,74,10,2,1,Ab,TRUE,I,TRUE
I[I,64,1,95.5,74,10,2,1,Ab,TRUE,I,TRUE
I64,64,2.33333,96.8333,74,10,2,0.166667,Ab,TRUE,I,TRUE
I],65,2,98,74,10,2,0.5,Ab,TRUE,I,TRUE
I,66,1.5,99,74,10,2,0.5,Ab,TRUE,I,TRUE
I6,66,2,99.5,74,10,2,0.5,Ab,TRUE,I,TRUE
I,68,1,101.5,74,10,2,1.5,Ab,TRUE,I,TRUE
I6,72,1.5,108,74,10,2,0.5,Ab,TRUE,I,TRUE
I,73,1,109,74,10,2,1.33333,Ab,TRUE,I,TRUE
I6,79,1,118,74,10,2,0.25,Ab,TRUE,I,TRUE
I[I,80,1,119.5,74,10,2,0.5,Ab,TRUE,I,TRUE
I6,82,1,122.5,74,10,2,0.5,Ab,TRUE,I,TRUE
I6],84,1,125.5,74,10,2,0.5,Ab,TRUE,I,TRUE
I,86,1,128.5,74,10,2,0.5,Ab,TRUE,I,TRUE
IV.I,87,1,130,74,10,2,1.5,Ab,TRUE,I,TRUE
I,90,1,134.5,74,10,2,1.5,Ab,TRUE,I,TRUE
I,95,1,142,74,10,2,1.5,Ab,TRUE,I,TRUE
I6,98,1.5,147,74,10,2,0.75,Ab,TRUE,I,TRUE
I6,101,1,151,74,10,2,0.5,Ab,TRUE,I,TRUE
I\\\\,102,1,152.5,74,10,2,0.5,Ab,TRUE,I,TRUE
I.I,143,1,214,74,10,2,0.5,Ab,TRUE,I,TRUE
I6,145,1,217,74,10,2,0.5,Ab,TRUE,I,TRUE
I\\\\,147,1,220,74,10,2,0.5,Ab,TRUE,I,TRUE
I64,155,1,232,74,10,2,1.5,Ab,TRUE,I,TRUE
I,157,1,235,74,10,2,1.5,Ab,TRUE,I,TRUE
I,159,1,238,74,10,2,3,Ab,TRUE,I,TRUE
#viio64/ii,229,3,919,59,9,4,2,C,TRUE,?,TRUE
I,164,1,245.5,74,10,2,1,Ab,TRUE,I,TRUE
I,165,1,247,74,10,2,1,Ab,TRUE,I,TRUE
I,166,1.5,249,74,10,2,4,Ab,TRUE,I,TRUE
I\\\\,169,1,253,74,10,2,1.5,Ab,TRUE,I,TRUE
I,19,1,53.5,74,10,3,6,c,TRUE,I,TRUE
I\\\\,25,1,71.5,74,10,3,3,c,TRUE,I,TRUE
I,26,1,74.5,74,10,3,9,c,TRUE,I,TRUE
#viio64/ii,231,3,927,59,9,4,2,C,TRUE,?,TRUE
#viio/V,17,3.5,51.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio,23,2.5,68.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio,24,2.5,71.5,59,9,2,1.5,a,TRUE,?,TRUE
#viio,25,2.5,74.5,59,9,2,1,a,TRUE,?,TRUE
#viio,26,2.5,77.5,59,9,2,1.5,a,TRUE,?,TRUE
#viio6/ii,169,3.5,507.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio,110,4,444,59,9,4,1,C,TRUE,?,TRUE
#viio7/V,66,0,231,59,9,1,5,C,TRUE,?,TRUE
#viio7/V,68,3,242,59,9,1,2,C,TRUE,?,TRUE
#viio43/ii,93,2,341,59,9,1,1,C,TRUE,?,TRUE
#viio7/V,35,1,103,59,9,2,1.5,a,TRUE,?,TRUE
#viio7/V,36,1,106,59,9,2,1.5,a,TRUE,?,TRUE
iii.#viio7,37,1,109,59,9,2,0.5,a,TRUE,?,TRUE
#viio2,37,2,110,59,9,2,0.5,a,TRUE,?,TRUE
#viio2/V,39,2.5,116.5,59,9,2,1.5,a,TRUE,?,TRUE
#viio2,40,2.5,119.5,59,9,2,1,a,TRUE,?,TRUE
#viio43/V,40,3.5,120.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio2/V,41,2.5,122.5,59,9,2,1.5,a,TRUE,?,TRUE
#viio2/V,42,2.5,125.5,59,9,2,1,a,TRUE,?,TRUE
I,191,1,569.5,74,10,3,6,c,TRUE,I,TRUE
I,197,1,587.5,74,10,3,9,c,TRUE,I,TRUE
I,200,1,596.5,74,10,3,3,c,TRUE,I,TRUE
#viio43/V,42,3.5,126.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio7,64,1,190,59,9,2,1,a,TRUE,?,TRUE
#viio7,65,1,193,59,9,2,1,a,TRUE,?,TRUE
#viio7,66,1,196,59,9,2,1,a,TRUE,?,TRUE
#viio43,93,1,277,59,9,2,1,a,TRUE,?,TRUE
#viio65,93,2,278,59,9,2,1.5,a,TRUE,?,TRUE
i.#viio7,95,1,283,59,9,2,2.5,a,TRUE,?,TRUE
i.#viio7/iv,133,1,397,59,9,2,1.5,a,TRUE,?,TRUE
#viio2/V,157,2.5,470.5,59,9,2,1.5,a,TRUE,?,TRUE
#viio2/V,159,2.5,476.5,59,9,2,1.5,a,TRUE,?,TRUE
#viio2/V,160,2.5,479.5,59,9,2,1.5,a,TRUE,?,TRUE
#viio2,163,1,487,59,9,2,1.5,a,TRUE,?,TRUE
#viio43,163,2.5,488.5,59,9,2,1,a,TRUE,?,TRUE
#viio65,163,3.5,489.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio2/V,171,2.5,512.5,59,9,2,1,a,TRUE,?,TRUE
#viio43/V,171,3.5,513.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio2/V,173,2.5,518.5,59,9,2,1,a,TRUE,?,TRUE
#viio43/V,173,3.5,519.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio2/V,174,2.5,521.5,59,9,2,1,a,TRUE,?,TRUE
I,369,1,1103.5,74,10,3,6,c,TRUE,I,TRUE
I,375,1,1121.5,74,10,3,9,c,TRUE,I,TRUE
I,378,1,1130.5,74,10,3,3,c,TRUE,I,TRUE
#viio43/V,174,3.5,522.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio2,175,2.5,524.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio2,177,1,529,59,9,2,1,a,TRUE,?,TRUE
#viio65,177,3.5,531.5,59,9,2,0.5,a,TRUE,?,TRUE
i.#viio65/iv,187,1,559,59,9,2,1,a,TRUE,?,TRUE
i.#viio7/iv,191,3.5,573.5,59,9,2,3,a,TRUE,?,TRUE
#viio7/vi,2,2,5,59,9,3,1,C,TRUE,?,TRUE
#viio7/vi,6,2,17,59,9,3,1,C,TRUE,?,TRUE
#viio7/vi,10,2,29,59,9,3,1,C,TRUE,?,TRUE
#viio7/vi,14,2,41,59,9,3,1,C,TRUE,?,TRUE
#viio7/vi,28,2,83,59,9,3,1,C,TRUE,?,TRUE
#viio7/ii,52,1,209,59,9,4,8,C,TRUE,?,TRUE
I.#viio43/ii,226,3,907,59,9,4,2,C,TRUE,?,TRUE
#viio7/ii,239,3,959,59,9,4,2,C,TRUE,?,TRUE
#viio7/ii,241,3,967,59,9,4,2,C,TRUE,?,TRUE
I6,435,1,1301.5,74,10,3,3,c,TRUE,I,TRUE
I(2),437,1,1307.5,74,10,3,1.5,c,TRUE,I,TRUE
I,438,1,1310.5,74,10,3,1.5,c,TRUE,I,TRUE
I,439,1,1313.5,74,10,3,1.5,c,TRUE,I,TRUE
I,440,1,1316.5,74,10,3,1.5,c,TRUE,I,TRUE
#viio7/vi,250,3,1003,59,9,4,2,C,TRUE,?,TRUE
#viio7/ii,261,1,1045,59,9,4,8,C,TRUE,?,TRUE
.Eb.I,1,1,1,74,10,4,1,Eb,TRUE,I,TRUE
I,2,1,2,74,10,4,1,Eb,TRUE,I,TRUE
I6,6,2,11,74,10,4,2,Eb,TRUE,I,TRUE
I,7,2,13,74,10,4,0.75,Eb,TRUE,I,TRUE
I,12,2,23,74,10,4,1,Eb,TRUE,I,TRUE
I,15,2.75,29.75,74,10,4,0.25,Eb,TRUE,I,TRUE
I,16,2.75,31.75,74,10,4,0.25,Eb,TRUE,I,TRUE
I,19,1,36,74,10,4,1,Eb,TRUE,I,TRUE
I6,21,1.5,40.5,74,10,4,0.5,Eb,TRUE,I,TRUE
I\\\\,22,1,42,74,10,4,2,Eb,TRUE,I,TRUE
I,23,1,44,74,10,4,4,Eb,TRUE,I,TRUE
I,34,2,67,74,10,4,1,Eb,TRUE,I,TRUE
I6,41,1,80,74,10,4,0.5,Eb,TRUE,I,TRUE
I,41,1.5,80.5,74,10,4,1,Eb,TRUE,I,TRUE
I6,42,2.5,83.5,74,10,4,0.5,Eb,TRUE,I,TRUE
I,43,1.5,84.5,74,10,4,0.5,Eb,TRUE,I,TRUE
I\\\\,44,1,86,74,10,4,2,Eb,TRUE,I,TRUE
I,46,1,90,74,10,4,2,Eb,TRUE,I,TRUE
I,51,1,100,74,10,4,2,Eb,TRUE,I,TRUE
I,56,1,110,74,10,4,1,Eb,TRUE,I,TRUE
I,63,1,124,74,10,4,2,Eb,TRUE,I,TRUE
I\\\\,66,1,130,74,10,4,2,Eb,TRUE,I,TRUE
I6,67,1,132,74,10,4,2,Eb,TRUE,I,TRUE
I,68,1,134,74,10,4,2,Eb,TRUE,I,TRUE
I,72,1,142,74,10,4,1,Eb,TRUE,I,TRUE
I6,72,2,143,74,10,4,1,Eb,TRUE,I,TRUE
I,73,1,144,74,10,4,2,Eb,TRUE,I,TRUE
I6,78,2,155,74,10,4,1,Eb,TRUE,I,TRUE
I,85,1,168,74,10,4,2,Eb,TRUE,I,TRUE
I\\\\,88,1,174,74,10,4,2,Eb,TRUE,I,TRUE
I,90,1,178,74,10,4,2,Eb,TRUE,I,TRUE
I(4),95,1,188,74,10,4,2,Eb,TRUE,I,TRUE
I6,103,2,205,74,10,4,1,Eb,TRUE,I,TRUE
I,105,2,209,74,10,4,1,Eb,TRUE,I,TRUE
I,107,1,212,74,10,4,2,Eb,TRUE,I,TRUE
I\\\\,110,1,218,74,10,4,2,Eb,TRUE,I,TRUE
I6,111,1,220,74,10,4,2,Eb,TRUE,I,TRUE
I,112,1,222,74,10,4,1,Eb,TRUE,I,TRUE
I,117,1,232,74,10,4,2,Eb,TRUE,I,TRUE
I,122,2,243,74,10,4,1,Eb,TRUE,I,TRUE
I,129,1,256,74,10,4,2,Eb,TRUE,I,TRUE
I\\\\,132,1,262,74,10,4,2,Eb,TRUE,I,TRUE
I[I,133,1,264,74,10,4,5.5,Eb,TRUE,I,TRUE
I,136,1,270,74,10,4,0.5,Eb,TRUE,I,TRUE
I,136,2,271,74,10,4,1.5,Eb,TRUE,I,TRUE
I64,137,2.5,273.5,74,10,4,0.5,Eb,TRUE,I,TRUE
I6,138,2.5,275.5,74,10,4,1,Eb,TRUE,I,TRUE
I6,139,2.5,277.5,74,10,4,0.5,Eb,TRUE,I,TRUE
I6,140,1.5,278.5,74,10,4,1,Eb,TRUE,I,TRUE
I6,141,1,280,74,10,4,0.5,Eb,TRUE,I,TRUE
I,141,2,281,74,10,4,0.5,Eb,TRUE,I,TRUE
I6,142,2,283,74,10,4,0.5,Eb,TRUE,I,TRUE
I]\\\\,143,1,284,74,10,4,2,Eb,TRUE,I,TRUE
I[I6,152,2,303,74,10,4,0.5,Eb,TRUE,I,TRUE
I6,153,1,304,74,10,4,0.5,Eb,TRUE,I,TRUE
I6,153,2,305,74,10,4,1.5,Eb,TRUE,I,TRUE
I,154,2.5,307.5,74,10,4,0.5,Eb,TRUE,I,TRUE
I]\\\\,156,1,310,74,10,4,2,Eb,TRUE,I,TRUE
I],157,1,312,74,10,4,2,Eb,TRUE,I,TRUE
I6,158,1,314,74,10,4,2,Eb,TRUE,I,TRUE
I6,162,1,322,74,10,4,2,Eb,TRUE,I,TRUE
I64,165,2,329,74,10,4,3,Eb,TRUE,I,TRUE
I6,169,1,336,74,10,4,0.5,Eb,TRUE,I,TRUE
I6,173,1,344,74,10,4,1,Eb,TRUE,I,TRUE
I\\\\,177,1,352,74,10,4,2,Eb,TRUE,I,TRUE
I,179,1,356,74,10,4,2,Eb,TRUE,I,TRUE
I,181,1,360,74,10,4,2,Eb,TRUE,I,TRUE
I,183,1,364,74,10,4,2,Eb,TRUE,I,TRUE
I,185,1,368,74,10,4,2,Eb,TRUE,I,TRUE
I,190,1,378,74,10,4,2,Eb,TRUE,I,TRUE
I,192,1,382,74,10,4,2,Eb,TRUE,I,TRUE
I,193,1,384,74,10,4,2,Eb,TRUE,I,TRUE
I,198,1,394,74,10,4,2,Eb,TRUE,I,TRUE
I\\\\,200,1,398,74,10,4,4,Eb,TRUE,I,TRUE
I,206,1,410,74,10,4,1.25,Eb,TRUE,I,TRUE
I,208,1,414,74,10,4,2,Eb,TRUE,I,TRUE
I\\\\,210,1,418,74,10,4,2,Eb,TRUE,I,TRUE
#viio2/V,14,2.5,41.5,59,9,2,1,a,TRUE,?,TRUE
#viio43/V,14,3.5,42.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio2/V,16,2.5,47.5,59,9,2,1,a,TRUE,?,TRUE
#viio43/V,16,3.5,48.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio2/V,17,2.5,50.5,59,9,2,1,a,TRUE,?,TRUE
#viio2,18,2.5,53.5,59,9,2,1,a,TRUE,?,TRUE
#viio43,18,3.5,54.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio2,20,1,58,59,9,2,2.5,a,TRUE,?,TRUE
#viio7,20,3.5,60.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio7,113,2.5,338.5,59,9,2,1.5,a,TRUE,?,TRUE
I,22,1,85,95,11,1,1,FALSE,TRUE,I,TRUE
I6,22,2.5,86.5,95,11,1,0.5,FALSE,TRUE,I,TRUE
I64,24,1,93,95,11,1,4,FALSE,TRUE,I,TRUE
I,26,1,101,95,11,1,4,FALSE,TRUE,I,TRUE
I6,28,1,109,95,11,1,4,FALSE,TRUE,I,TRUE
I,30,1,117,95,11,1,2,FALSE,TRUE,I,TRUE
I6,30,3,119,95,11,1,2,FALSE,TRUE,I,TRUE
I[I6,43,1,169,95,11,1,4,FALSE,TRUE,I,TRUE
I6,45,1,177,95,11,1,4,FALSE,TRUE,I,TRUE
I6,47,1,185,95,11,1,7.66667,FALSE,TRUE,I,TRUE
I],48,4.66667,192.667,95,11,1,0.333333,FALSE,TRUE,I,TRUE
I[I6,54,1,213,95,11,1,4,FALSE,TRUE,I,TRUE
I6,56,1,221,95,11,1,4,FALSE,TRUE,I,TRUE
I6],58,1,229,95,11,1,2,FALSE,TRUE,I,TRUE
I,59,1,233,95,11,1,2,FALSE,TRUE,I,TRUE
I,87,1,345,95,11,1,1,FALSE,TRUE,I,TRUE
I6,87,2.5,346.5,95,11,1,0.5,FALSE,TRUE,I,TRUE
I64,89,1,353,95,11,1,4,FALSE,TRUE,I,TRUE
I,91,1,361,95,11,1,4,FALSE,TRUE,I,TRUE
I[I,93,1,369,95,11,1,4,FALSE,TRUE,I,TRUE
I,95,1,377,95,11,1,4,FALSE,TRUE,I,TRUE
I,97,1,385,95,11,1,4,FALSE,TRUE,I,TRUE
I,99,1,393,95,11,1,4,FALSE,TRUE,I,TRUE
I[I,112,1,445,95,11,1,4,FALSE,TRUE,I,TRUE
I,114,1,453,95,11,1,4,FALSE,TRUE,I,TRUE
I,116,1,461,95,11,1,6,FALSE,TRUE,I,TRUE
I],117,3,467,95,11,1,1,FALSE,TRUE,I,TRUE
I[I,123,1,489,95,11,1,4,FALSE,TRUE,I,TRUE
I,125,1,497,95,11,1,4,FALSE,TRUE,I,TRUE
I],127,1,505,95,11,1,2,FALSE,TRUE,I,TRUE
I,128,1,509,95,11,1,2,FALSE,TRUE,I,TRUE
.D.I,1,1,1,95,11,2,6,D,TRUE,I,TRUE
I,5,1,9,95,11,2,1,D,TRUE,I,TRUE
I,8,2,16,95,11,2,2,D,TRUE,I,TRUE
I,9,2.5,18.5,95,11,2,0.5,D,TRUE,I,TRUE
I,11,1,21,95,11,2,1,D,TRUE,I,TRUE
I64(b6),14,1,27,95,11,2,1,D,TRUE,I,TRUE
I64,14,2,28,95,11,2,0.5,D,TRUE,I,TRUE
I6,14,2.5,28.5,95,11,2,0.5,D,TRUE,I,TRUE
I,15,2,30,95,11,2,1,D,TRUE,I,TRUE
I,18,1,35,95,11,2,1,D,TRUE,I,TRUE
I6,21,2,42,95,11,2,1,D,TRUE,I,TRUE
I(+b7+b2),23,1,45,95,11,2,1,D,TRUE,I,TRUE
I,23,2,46,95,11,2,1,D,TRUE,I,TRUE
I,24,2,48,95,11,2,2,D,TRUE,I,TRUE
I6,25,2,50,95,11,2,0.5,D,TRUE,I,TRUE
I(+b7+b2),27,1,53,95,11,2,1,D,TRUE,I,TRUE
I,27,2,54,95,11,2,1,D,TRUE,I,TRUE
I,28,2,56,95,11,2,2,D,TRUE,I,TRUE
I6,29,2,58,95,11,2,0.5,D,TRUE,I,TRUE
I\\\\,31,1,61,95,11,2,0.5,D,TRUE,I,TRUE
I6,31,1.5,61.5,95,11,2,1,D,TRUE,I,TRUE
I6,32,1.5,63.5,95,11,2,0.5,D,TRUE,I,TRUE
I[I64,33,1,65,95,11,2,1,D,TRUE,I,TRUE
I64]\\\\,34,1,67,95,11,2,2,D,TRUE,I,TRUE
I,35,1,69,95,11,2,2,D,TRUE,I,TRUE
I,41,1,81,95,11,2,1,D,TRUE,I,TRUE
#viio7,114,2.5,341.5,59,9,2,1,a,TRUE,?,TRUE
I(4),44,1,87,95,11,2,1,D,TRUE,I,TRUE
I,50,1,99,95,11,2,0.5,D,TRUE,I,TRUE
#viio43,115,2.5,344.5,59,9,2,1,a,TRUE,?,TRUE
#viio43,116,2,347,59,9,2,0.5,a,TRUE,?,TRUE
I6,54,2.25,108.25,95,11,2,0.25,D,TRUE,I,TRUE
I(4),55,2,110,95,11,2,0.5,D,TRUE,I,TRUE
I,55,2.5,110.5,95,11,2,0.5,D,TRUE,I,TRUE
#viio43,116,3.5,348.5,59,9,2,0.5,a,TRUE,?,TRUE
I,79,1,157,95,11,2,2,D,TRUE,I,TRUE
I6(2),92,1,183,95,11,2,0.5,D,TRUE,I,TRUE
I6,92,1.5,183.5,95,11,2,1,D,TRUE,I,TRUE
I(4),94,1,187,95,11,2,0.5,D,TRUE,I,TRUE
I,94,1.5,187.5,95,11,2,0.5,D,TRUE,I,TRUE
I(b9),94,2,188,95,11,2,0.5,D,TRUE,I,TRUE
#viio43,117,2,350,59,9,2,0.5,a,TRUE,?,TRUE
I],112,1,223,95,11,2,0.5,D,TRUE,I,TRUE
I,112,1.5,223.5,95,11,2,5.5,D,TRUE,I,TRUE
I,116,1,231,95,11,2,2,D,TRUE,I,TRUE
I,119,2,238,95,11,2,2,D,TRUE,I,TRUE
I,120,2.5,240.5,95,11,2,0.5,D,TRUE,I,TRUE
I,122,1,243,95,11,2,1,D,TRUE,I,TRUE
I64(b2),125,1,249,95,11,2,1,D,TRUE,I,TRUE
I,125,2,250,95,11,2,1,D,TRUE,I,TRUE
I,126,2,252,95,11,2,1,D,TRUE,I,TRUE
I6,129,1,257,95,11,2,1,D,TRUE,I,TRUE
I6,132,2,264,95,11,2,1,D,TRUE,I,TRUE
I],136,1,271,95,11,2,1,D,TRUE,I,TRUE
I6,136,2,272,95,11,2,0.5,D,TRUE,I,TRUE
I],140,1,279,95,11,2,1,D,TRUE,I,TRUE
i,25,3,99,132,15,4,2,A,FALSE,I,TRUE
i6,31,3,123,132,15,4,1,A,FALSE,I,TRUE
i,31,4,124,132,15,4,1,A,FALSE,I,TRUE
i(4),37,1,145,132,15,4,1,A,FALSE,I,TRUE
i,37,2,146,132,15,4,3,A,FALSE,I,TRUE
i6(2),39,1,153,132,15,4,1,A,FALSE,I,TRUE
i6,39,2,154,132,15,4,2,A,FALSE,I,TRUE
#viio43,117,3.5,351.5,59,9,2,0.5,a,TRUE,?,TRUE
#viio43,110,2,442,59,9,4,1,C,TRUE,?,TRUE
#viio65,110,3,443,59,9,4,1,C,TRUE,?,TRUE
.bIII6(4),12,1,34,59,9,1,2,C,TRUE,?,TRUE
.bIII6,12,3,36,59,9,1,3,C,TRUE,?,TRUE
.bVII2,11,1,31,59,9,1,3,C,TRUE,?,TRUE
i6,17,1,49,59,9,1,3,C,TRUE,?,TRUE
i,34,1,100,59,9,2,1.5,a,TRUE,?,TRUE
i64,34,3.5,102.5,59,9,2,0.5,a,TRUE,?,TRUE
i64,35,3.5,105.5,59,9,2,0.5,a,TRUE,?,TRUE
i64,36,3.5,108.5,59,9,2,0.5,a,TRUE,?,TRUE
i64,38,3,114,59,9,2,0.5,a,TRUE,?,TRUE
vi.V[i,53,2.5,158.5,59,9,2,1,a,TRUE,?,TRUE
i,54,2.5,161.5,59,9,2,1,a,TRUE,?,TRUE
i,55,2.5,164.5,59,9,2,1,a,TRUE,?,TRUE
i,67,1,199,59,9,2,3,a,TRUE,?,TRUE
i6,68,1,202,59,9,2,1.5,a,TRUE,?,TRUE
i,68,2.5,203.5,59,9,2,1,a,TRUE,?,TRUE
i64,72,1,214,59,9,2,3,a,TRUE,?,TRUE
i64,74,1,220,59,9,2,3,a,TRUE,?,TRUE
i,76,1,226,59,9,2,3,a,TRUE,?,TRUE
i6,78,1,232,59,9,2,1.5,a,TRUE,?,TRUE
i64,78,2.5,233.5,59,9,2,1.5,a,TRUE,?,TRUE
i64,80,1,238,59,9,2,1.5,a,TRUE,?,TRUE
i6,80,2.5,239.5,59,9,2,1.5,a,TRUE,?,TRUE
i64,82,1,244,59,9,2,1.5,a,TRUE,?,TRUE
i6,82,2.5,245.5,59,9,2,1.5,a,TRUE,?,TRUE
i,84,1,250,59,9,2,3,a,TRUE,?,TRUE
I,48,3,144,132,15,5,1,a,TRUE,I,TRUE
I\\\\,50,1,148,132,15,5,1,a,TRUE,I,TRUE
I,50,2,149,132,15,5,3,a,TRUE,I,TRUE
I,52,1,154,132,15,5,2,a,TRUE,I,TRUE
I6,52,3,156,132,15,5,1,a,TRUE,I,TRUE
I,54,1,160,132,15,5,3,a,TRUE,I,TRUE
I6,57,2,170,132,15,5,0.5,a,TRUE,I,TRUE
I,57,3,171,132,15,5,1,a,TRUE,I,TRUE
I6,140,2,280,95,11,2,0.5,D,FALSE,I+,TRUE
I\\\\,142,1,283,95,11,2,1.5,D,FALSE,I+,TRUE
I,143,1,285,95,11,2,1,D,FALSE,I+,TRUE
I6,143,2,286,95,11,2,0.5,D,FALSE,I+,TRUE
I,144,1,287,95,11,2,1.5,D,FALSE,I+,TRUE
I(b6),154,1,307,95,11,2,0.5,D,FALSE,I+,TRUE
I,154,1.5,307.5,95,11,2,1.5,D,FALSE,I+,TRUE
