chord,altchord,measure,beat,totbeat,timesig,op,no,mov,length,global_key,local_key,pedal,numeral,form,figbass,changes,relativeroot,phraseend
I\\\\,,469,1.5,937.5,2/4,130,13,6,1.5,Bb,IV,,I,,,,,TRUE
V7,,470,1,939,2/4,130,13,6,2,Bb,IV,,V,,7,,,FALSE
V65,,471,1,941,2/4,130,13,6,0.5,Bb,IV,,V,,65,,,FALSE
I,,471,1.5,941.5,2/4,130,13,6,1.5,Bb,IV,,I,,,,,FALSE
V7,,472,1,943,2/4,130,13,6,2,Bb,IV,,V,,7,,,FALSE
I,,473,1,945,2/4,130,13,6,1,Bb,IV,,I,,,,,FALSE
V7,,473,2,946,2/4,130,13,6,2,Bb,IV,,V,,7,,,FALSE
I,,474,2,948,2/4,130,13,6,1,Bb,IV,,I,,,,,FALSE
vi,IV.I,475,1,949,2/4,130,13,6,1,Bb,IV,,vi,,,,,FALSE
IV,,475,2,950,2/4,130,13,6,1,Bb,IV,,IV,,,,,FALSE
ii,,476,1,951,2/4,130,13,6,1,Bb,IV,,ii,,,,,FALSE
I,,476,2,952,2/4,130,13,6,2,Bb,IV,,I,,,,,FALSE
ii,,477,2,954,2/4,130,13,6,1,Bb,IV,,ii,,,,,FALSE
V,,478,1,955,2/4,130,13,6,1,Bb,IV,,V,,,,,FALSE
I,,478,2,956,2/4,130,13,6,2,Bb,IV,,I,,,,,FALSE
V7/ii,,479,2,958,2/4,130,13,6,2,Bb,IV,,V,,7,,ii,FALSE
V,,480,2,960,2/4,130,13,6,2,Bb,IV,,V,,,,,FALSE
I.V,,481,2,962,2/4,130,13,6,1,Bb,I,,V,,,,,FALSE
I,,482,1,963,2/4,130,13,6,1,Bb,I,,I,,,,,FALSE
ii,,482,2,964,2/4,130,13,6,1.5,Bb,I,,ii,,,,,FALSE
V6,,483,1.5,965.5,2/4,130,13,6,0.5,Bb,I,,V,,6,,,FALSE
I6,,483,2,966,2/4,130,13,6,1,Bb,I,,I,,6,,,FALSE
vi,,484,1,967,2/4,130,13,6,1,Bb,I,,vi,,,,,FALSE
IV.vi,,484,2,968,2/4,130,13,6,1,Bb,IV,,vi,,,,,FALSE
ii,,485,1,969,2/4,130,13,6,1,Bb,IV,,ii,,,,,FALSE
V,,485,2,970,2/4,130,13,6,1,Bb,IV,,V,,,,,FALSE
I,,486,1,971,2/4,130,13,6,1,Bb,IV,,I,,,,,FALSE
IV,,486,2,972,2/4,130,13,6,1,Bb,IV,,IV,,,,,FALSE
V6,,487,1,973,2/4,130,13,6,1,Bb,IV,,V,,6,,,FALSE
I,,487,2,974,2/4,130,13,6,2,Bb,IV,,I,,,,,FALSE
V65/ii,,488,2,976,2/4,130,13,6,1.5,Bb,IV,,V,,65,,ii,FALSE
V,,489,1.5,977.5,2/4,130,13,6,0.5,Bb,IV,,V,,,,,FALSE
V64,,489,2,978,2/4,130,13,6,2,Bb,IV,,V,,64,,,FALSE
I.V,,490,2,980,2/4,130,13,6,1,Bb,I,,V,,,,,FALSE
I,,491,1,981,2/4,130,13,6,1,Bb,I,,I,,,,,FALSE
V43,,491,2,982,2/4,130,13,6,1,Bb,I,,V,,43,,,FALSE
I,,492,1,983,2/4,130,13,6,1,Bb,I,,I,,,,,FALSE
V7,,492,2,984,2/4,130,13,6,1,Bb,I,,V,,7,,,FALSE
I,,493,1,985,2/4,130,13,6,1,Bb,I,,I,,,,,FALSE
V7,,493,2,986,2/4,130,13,6,1,Bb,I,,V,,7,,,FALSE
I,,494,1,987,2/4,130,13,6,1,Bb,I,,I,,,,,FALSE
V7,,494,2,988,2/4,130,13,6,1,Bb,I,,V,,7,,,FALSE
I,,495,1,989,2/4,130,13,6,1,Bb,I,,I,,,,,FALSE
V7,,495,2,990,2/4,130,13,6,1,Bb,I,,V,,7,,,FALSE
I,,496,1,991,2/4,130,13,6,1,Bb,I,,I,,,,,FALSE
V7,,496,2,992,2/4,130,13,6,2,Bb,I,,V,,7,,,FALSE
V,,497,2,994,2/4,130,13,6,1,Bb,I,,V,,,,,FALSE
I\\\\,,498,1,995,2/4,130,13,6,2,Bb,I,,I,,,,,TRUE
.c#.i64,,0,1,1,2/2,131,14,1,1,c#,I,,i,,64,,,FALSE
V6,,1,1,2,2/2,131,14,1,2,c#,I,,V,,6,,,FALSE
i,,1,3,4,2/2,131,14,1,2,c#,I,,i,,,,,FALSE
iv6,,2,1,6,2/2,131,14,1,3,c#,I,,iv,,6,,,FALSE
i64,,2,4,9,2/2,131,14,1,1,c#,I,,i,,64,,,FALSE
iv,,3,1,10,2/2,131,14,1,2,c#,I,,iv,,,,,FALSE
V7,,3,3,12,2/2,131,14,1,2,c#,I,,V,,7,,,FALSE
i6,,4,1,14,2/2,131,14,1,2,c#,I,,i,,6,,,FALSE
i,,4,3,16,2/2,131,14,1,2,c#,I,,i,,,,,FALSE
#viio/iv,,5,1,18,2/2,131,14,1,2,c#,I,,#vii,o,,,iv,FALSE
iv(4),,5,3,20,2/2,131,14,1,1,c#,I,,iv,,,4,,FALSE
iv,,5,4,21,2/2,131,14,1,1,c#,I,,iv,,,,,FALSE
.bII,,6,1,22,2/2,131,14,1,1,c#,I,,bII,,,,,FALSE
.bII(#2),,6,2,23,2/2,131,14,1,1,c#,I,,bII,,,#2,,FALSE
.bII,,6,3,24,2/2,131,14,1,1,c#,I,,bII,,,,,FALSE
iv64,,6,4,25,2/2,131,14,1,1,c#,I,,iv,,64,,,FALSE
.Ger6,,7,1,26,2/2,131,14,1,3,c#,I,,Ger,,6,,,FALSE
V2/iv,,7,4,29,2/2,131,14,1,1,c#,I,,V,,2,,iv,FALSE
iv6,,8,1,30,2/2,131,14,1,2,c#,I,,iv,,6,,,FALSE
V(64),,8,3,32,2/2,131,14,1,1,c#,I,,V,,,64,,FALSE
V,,8,4,33,2/2,131,14,1,1,c#,I,,V,,,,,FALSE
V6,,9,1,34,2/2,131,14,1,1,c#,I,,V,,6,,,FALSE
V7,,9,2,35,2/2,131,14,1,1,c#,I,,V,,7,,,FALSE
i64,,9,3,36,2/2,131,14,1,1,c#,I,,i,,64,,,FALSE
i,,9,4,37,2/2,131,14,1,1,c#,I,,i,,,,,FALSE
#viio2(4),,10,1,38,2/2,131,14,1,1,c#,I,,#vii,o,2,4,,FALSE
#viio2,,10,2,39,2/2,131,14,1,1,c#,I,,#vii,o,2,,,FALSE
iio43,,10,3,40,2/2,131,14,1,1,c#,I,,ii,o,43,,,FALSE
III6,,10,4,41,2/2,131,14,1,1,c#,I,,III,,6,,,FALSE
V7/vii,,11,1,42,2/2,131,14,1,1,c#,I,,V,,7,,vii,FALSE
VI,,11,2,43,2/2,131,14,1,1,c#,I,,VI,,,,,FALSE
III6,,11,3,44,2/2,131,14,1,1,c#,I,,III,,6,,,FALSE
.bII6,,11,4,45,2/2,131,14,1,1,c#,I,,bII,,6,,,FALSE
V7/vi,,12,1,46,2/2,131,14,1,1,c#,I,,V,,7,,vi,FALSE
iv,,12,2,47,2/2,131,14,1,1,c#,I,,iv,,,,,FALSE
V,,12,3,48,2/2,131,14,1,1,c#,I,,V,,,,,FALSE
V7/iv,,12,4,49,2/2,131,14,1,1,c#,I,,V,,7,,iv,FALSE
viio2/VI,,13,1,50,2/2,131,14,1,2,c#,I,,vii,o,2,,VI,FALSE
IV,,13,3,52,2/2,131,14,1,2,c#,I,,IV,,,,,FALSE
.bII+,,14,1,54,2/2,131,14,1,1,c#,I,,bII,+,,,,FALSE
vii6(6),,14,2,55,2/2,131,14,1,1,c#,I,,vii,,6,6,,FALSE
vii6,,14,3,56,2/2,131,14,1,1,c#,I,,vii,,6,,,FALSE
#viio6/vii,,14,4,57,2/2,131,14,1,1,c#,I,,#vii,o,6,,vii,FALSE
vii,,15,1,58,2/2,131,14,1,1,c#,I,,vii,,,,,FALSE
viio43/VI,,15,2,59,2/2,131,14,1,1,c#,I,,vii,o,43,,VI,FALSE
VI,,15,3,60,2/2,131,14,1,1,c#,I,,VI,,,,,FALSE
vii,,15,4,61,2/2,131,14,1,1,c#,I,,vii,,,,,FALSE
VI,,16,1,62,2/2,131,14,1,2,c#,I,,VI,,,,,FALSE
i[VI6,,16,3,64,2/2,131,14,1,1,c#,I,i,VI,,6,,,FALSE
vii64,,16,4,65,2/2,131,14,1,1,c#,I,i,vii,,64,,,FALSE
.bII+6],,17,1,66,2/2,131,14,1,1,c#,I,i,bII,+,6,,,FALSE
#viio43/vii,,17,2,67,2/2,131,14,1,1,c#,I,,#vii,o,43,,vii,FALSE
vii6,,17,3,68,2/2,131,14,1,1,c#,I,,vii,,6,,,FALSE
i,,17,4,69,2/2,131,14,1,1,c#,I,,i,,,,,FALSE
vii.i,,18,1,70,2/2,131,14,1,1,c#,vii,,i,,,,,FALSE
V64,,18,2,71,2/2,131,14,1,1,c#,vii,,V,,64,,,FALSE
i6,,18,3,72,2/2,131,14,1,1,c#,vii,,i,,6,,,FALSE
#io6,,18,4,73,2/2,131,14,1,1,c#,vii,,#i,o,6,,,FALSE
#io65,,19,1,74,2/2,131,14,1,1,c#,vii,,#i,o,65,,,FALSE
ii6,,19,2,75,2/2,131,14,1,1,c#,vii,,ii,,6,,,FALSE
#viio6/iv,,19,3,76,2/2,131,14,1,1,c#,vii,,#vii,o,6,,iv,FALSE
#vo7,,19,4,77,2/2,131,14,1,1,c#,vii,,#v,o,7,,,FALSE
i.V(64),,20,1,78,2/2,131,14,1,1,c#,i,,V,,,64,,FALSE
.Ger6,,20,2,79,2/2,131,14,1,1,c#,i,,Ger,,6,,,FALSE
V,,20,3,80,2/2,131,14,1,1,c#,i,,V,,,,,FALSE
V2,,20,4,81,2/2,131,14,1,1,c#,i,,V,,2,,,FALSE
V2,,21,1,82,2/2,131,14,1,1,c#,i,,V,,2,,,FALSE
I6(7),,21,2,83,2/2,131,14,1,1,c#,i,,I,,6,7,,FALSE
I6,,21,3,84,2/2,131,14,1,2,c#,i,,I,,6,,,FALSE
V65/iv,,22,1,86,2/2,131,14,1,1,c#,i,,V,,65,,iv,FALSE
iv(7),,22,2,87,2/2,131,14,1,2,c#,i,,iv,,,7,,FALSE
V/vii,,22,4,89,2/2,131,14,1,1,c#,i,,V,,,,vii,FALSE
V2/vii,,23,1,90,2/2,131,14,1,2,c#,i,,V,,2,,vii,FALSE
vii64,,23,3,92,2/2,131,14,1,1,c#,i,,vii,,64,,,FALSE
V/III,,23,4,93,2/2,131,14,1,1,c#,i,,V,,,,III,FALSE
vo64(5),,24,1,94,2/2,131,14,1,1,c#,i,,v,o,64,5,,FALSE
vo64,,24,2,95,2/2,131,14,1,1,c#,i,,v,o,64,,,FALSE
III.I(42),,24,3,96,2/2,131,14,1,1,c#,III,,I,,,42,,FALSE
I64,,24,4,97,2/2,131,14,1,1,c#,III,,I,,64,,,FALSE
V65,,25,1,98,2/2,131,14,1,1,c#,III,,V,,65,,,FALSE
iii64,,25,2,99,2/2,131,14,1,1,c#,III,,iii,,64,,,FALSE
I[I(42),,25,3,100,2/2,131,14,1,1,c#,III,I,I,,,42,,FALSE
I,,25,4,101,2/2,131,14,1,1,c#,III,I,I,,,,,FALSE
viio64,,26,1,102,2/2,131,14,1,1,c#,III,I,vii,o,64,,,FALSE
I(7),,26,2,103,2/2,131,14,1,1,c#,III,I,I,,,7,,FALSE
iv],,26,3,104,2/2,131,14,1,1.5,c#,III,I,iv,,,,,FALSE
I,,26,4.5,105.5,2/2,131,14,1,0.5,c#,III,,I,,,,,FALSE
I+6,,27,1,106,2/2,131,14,1,2,c#,III,,I,+,6,,,FALSE
IV,,27,3,108,2/2,131,14,1,1,c#,III,,IV,,,,,FALSE
.Fr6/V,,27,4,109,2/2,131,14,1,1,c#,III,,Fr,,6,,V,FALSE
V/V,,28,1,110,2/2,131,14,1,1,c#,III,,V,,,,V,FALSE
V65/V,,28,2,111,2/2,131,14,1,1,c#,III,,V,,65,,V,FALSE
V,,28,3,112,2/2,131,14,1,1,c#,III,,V,,,,,FALSE
V65,,28,4,113,2/2,131,14,1,1,c#,III,,V,,65,,,FALSE
I,,29,1,114,2/2,131,14,1,1,c#,III,,I,,,,,FALSE
V65/IV,,29,2,115,2/2,131,14,1,1,c#,III,,V,,65,,IV,FALSE
IV,,29,3,116,2/2,131,14,1,1,c#,III,,IV,,,,,FALSE
vi,,29,4,117,2/2,131,14,1,1,c#,III,,vi,,,,,FALSE
viio,,30,1,118,2/2,131,14,1,1,c#,III,,vii,o,,,,FALSE
vii%65,,30,2,119,2/2,131,14,1,1,c#,III,,vii,%,65,,,FALSE
V/vi,,30,3,120,2/2,131,14,1,1,c#,III,,V,,,,vi,FALSE
V65/vi,,30,4,121,2/2,131,14,1,1,c#,III,,V,,65,,vi,FALSE
vi\\\\,,31,1,122,2/2,131,14,1,1,c#,III,,vi,,,,,TRUE
I6,,31,2,123,2/2,131,14,1,1,c#,III,,I,,6,,,FALSE
V64,,31,3,124,2/2,131,14,1,1,c#,III,,V,,64,,,FALSE
V2/V,,31,4,125,2/2,131,14,1,1,c#,III,,V,,2,,V,FALSE
V6,,32,1,126,2/2,131,14,1,1,c#,III,,V,,6,,,FALSE
iii,,32,2,127,2/2,131,14,1,1,c#,III,,iii,,,,,FALSE
I,,32,3,128,2/2,131,14,1,1,c#,III,,I,,,,,FALSE
V6(+6),,32,4,129,2/2,131,14,1,1,c#,III,,V,,6,6,,FALSE
viio7/V,,33,1,130,2/2,131,14,1,1,c#,III,,vii,o,7,,V,FALSE
viio2/iii,,33,2,131,2/2,131,14,1,2,c#,III,,vii,o,2,,iii,FALSE
V2/iii,,33,4,133,2/2,131,14,1,1,c#,III,,V,,2,,iii,FALSE
iii.i64,,34,1,134,2/2,131,14,1,3,c#,iii,,i,,64,,,FALSE
V,,34,4,137,2/2,131,14,1,2,c#,iii,,V,,,,,FALSE
V7,,35,2,139,2/2,131,14,1,1,c#,iii,,V,,7,,,FALSE
VI(6),,35,3,140,2/2,131,14,1,1,c#,iii,,VI,,,6,,FALSE
VI,,35,4,141,2/2,131,14,1,1,c#,iii,,VI,,,,,FALSE
VII.V[V7(4),,36,1,142,2/2,131,14,1,1,c#,VII,V,V,,7,4,,FALSE
V7(+b9),,36,2,143,2/2,131,14,1,2,c#,VII,V,V,,7,0,,FALSE
I6,,36,4,145,2/2,131,14,1,1,c#,VII,V,I,,6,,,FALSE
V,,37,1,146,2/2,131,14,1,1,c#,VII,V,V,,,,,FALSE
V7,,37,2,147,2/2,131,14,1,1,c#,VII,V,V,,7,,,FALSE
I6,,37,3,148,2/2,131,14,1,1,c#,VII,V,I,,6,,,FALSE
V43,,37,4,149,2/2,131,14,1,1,c#,VII,V,V,,43,,,FALSE
I6,,38,1,150,2/2,131,14,1,1,c#,VII,V,I,,6,,,FALSE
I64,,38,2,151,2/2,131,14,1,1,c#,VII,V,I,,64,,,FALSE
V2],,38,3,152,2/2,131,14,1,1,c#,VII,V,V,,2,,,FALSE
I64,,38,4,153,2/2,131,14,1,1,c#,VII,,I,,64,,,FALSE
V43,,39,1,154,2/2,131,14,1,2,c#,VII,,V,,43,,,FALSE
I6,,39,3,156,2/2,131,14,1,1,c#,VII,,I,,6,,,FALSE
V7,,39,4,157,2/2,131,14,1,1,c#,VII,,V,,7,,,FALSE
I6,,40,1,158,2/2,131,14,1,2,c#,VII,,I,,6,,,FALSE
V2,,40,3,160,2/2,131,14,1,1,c#,VII,,V,,2,,,FALSE
I6,,40,4,161,2/2,131,14,1,1,c#,VII,,I,,6,,,FALSE
iii.V,,41,1,162,2/2,131,14,1,1,c#,iii,,V,,,,,FALSE
V7,,41,2,163,2/2,131,14,1,1,c#,iii,,V,,7,,,FALSE
V(64),,41,3,164,2/2,131,14,1,1,c#,iii,,V,,,64,,FALSE
V,,41,4,165,2/2,131,14,1,1,c#,iii,,V,,,,,FALSE
i,,42,1,166,2/2,131,14,1,4,c#,iii,,i,,,,,FALSE
V,,43,1,170,2/2,131,14,1,3,c#,iii,,V,,,,,FALSE
.biii.i,,43,4,173,2/2,131,14,1,1,c#,biii,,i,,,,,FALSE
V7,,44,1,174,2/2,131,14,1,4,c#,biii,,V,,7,,,FALSE
i,,45,1,178,2/2,131,14,1,4,c#,biii,,i,,,,,FALSE
V64,,46,1,182,2/2,131,14,1,2,c#,biii,,V,,64,,,FALSE
I(4),,46,3,184,2/2,131,14,1,1,c#,biii,,I,,,4,,FALSE
I,,46,4,185,2/2,131,14,1,1,c#,biii,,I,,,,,FALSE
vi/I,,47,1,186,2/2,131,14,1,2,c#,biii,,vi,,,,I,FALSE
IV6/I,,47,3,188,2/2,131,14,1,2,c#,biii,,IV,,6,,I,FALSE
.bbII.iii,,48,1,190,2/2,131,14,1,2,c#,bbII,,iii,,,,,FALSE
I(4),,48,3,192,2/2,131,14,1,1,c#,bbII,,I,,,4,,FALSE
I,,48,4,193,2/2,131,14,1,1,c#,bbII,,I,,,,,FALSE
.bbV.iii64,,49,1,194,2/2,131,14,1,2,c#,bbV,,iii,,64,,,FALSE
I(42),,49,3,196,2/2,131,14,1,1,c#,bbV,,I,,,42,,FALSE
I64,,49,4,197,2/2,131,14,1,1,c#,bbV,,I,,64,,,FALSE
V6,,50,1,198,2/2,131,14,1,2,c#,bbV,,V,,6,,,FALSE
I,,50,3,200,2/2,131,14,1,1,c#,bbV,,I,,,,,FALSE
vi,,50,4,201,2/2,131,14,1,0.5,c#,bbV,,vi,,,,,FALSE
.bVI.V,,50,4.5,201.5,2/2,131,14,1,0.5,c#,bVI,,V,,,,,FALSE
V6,,51,1,202,2/2,131,14,1,2,c#,bVI,,V,,6,,,FALSE
I,,51,3,204,2/2,131,14,1,1,c#,bVI,,I,,,,,FALSE
vi,,51,4,205,2/2,131,14,1,0.5,c#,bVI,,vi,,,,,FALSE
.bvii.V,,51,4.5,205.5,2/2,131,14,1,0.5,c#,bvii,,V,,,,,FALSE
V6,,52,1,206,2/2,131,14,1,2,c#,bvii,,V,,6,,,FALSE
i,,52,3,208,2/2,131,14,1,1,c#,bvii,,i,,,,,FALSE
vi,,52,4,209,2/2,131,14,1,0.5,c#,bvii,,vi,,,,,FALSE
VII.V,,52,4.5,209.5,2/2,131,14,1,0.5,c#,VII,,V,,,,,FALSE
V6,,53,1,210,2/2,131,14,1,2,c#,VII,,V,,6,,,FALSE
I(4),,53,3,212,2/2,131,14,1,1.5,c#,VII,,I,,,4,,FALSE
I,,53,4.5,213.5,2/2,131,14,1,0.5,c#,VII,,I,,,,,FALSE
vi(2),,54,1,214,2/2,131,14,1,2,c#,VII,,vi,,,2,,FALSE
vi,,54,3,216,2/2,131,14,1,1,c#,VII,,vi,,,,,FALSE
V/ii,,54,4,217,2/2,131,14,1,0.5,c#,VII,,V,,,,ii,FALSE
V2/ii,,54,4.5,217.5,2/2,131,14,1,0.5,c#,VII,,V,,2,,ii,FALSE
ii6,,55,1,218,2/2,131,14,1,1,c#,VII,,ii,,6,,,FALSE
ii64,,55,2,219,2/2,131,14,1,1,c#,VII,,ii,,64,,,FALSE
V(64),,55,3,220,2/2,131,14,1,2,c#,VII,,V,,,64,,FALSE
I6,,56,1,222,2/2,131,14,1,1,c#,VII,,I,,6,,,FALSE
V43/IV,,56,2,223,2/2,131,14,1,1,c#,VII,,V,,43,,IV,FALSE
.bVII64,,56,3,224,2/2,131,14,1,1,c#,VII,,bVII,,64,,,FALSE
ii6,,56,4,225,2/2,131,14,1,1,c#,VII,,ii,,6,,,FALSE
ii,,57,1,226,2/2,131,14,1,1,c#,VII,,ii,,,,,FALSE
ii6,,57,2,227,2/2,131,14,1,1,c#,VII,,ii,,6,,,FALSE
iii,,57,3,228,2/2,131,14,1,1,c#,VII,,iii,,,,,FALSE
V43/IV,,57,4,229,2/2,131,14,1,1,c#,VII,,V,,43,,IV,FALSE
IV,,58,1,230,2/2,131,14,1,1,c#,VII,,IV,,,,,FALSE
ii43,,58,2,231,2/2,131,14,1,1,c#,VII,,ii,,43,,,FALSE
v,,58,3,232,2/2,131,14,1,1,c#,VII,,v,,,,,FALSE
v6,,58,4,233,2/2,131,14,1,1,c#,VII,,v,,6,,,FALSE
vi,,59,1,234,2/2,131,14,1,1,c#,VII,,vi,,,,,FALSE
V43/bVII,,59,2,235,2/2,131,14,1,1,c#,VII,,V,,43,,bVII,FALSE
.bVII,,59,3,236,2/2,131,14,1,1,c#,VII,,bVII,,,,,FALSE
.bVII6,,59,4,237,2/2,131,14,1,1,c#,VII,,bVII,,6,,,FALSE
VI.ii,,60,1,238,2/2,131,14,1,1,c#,VI,,ii,,,,,FALSE
viio43,,60,2,239,2/2,131,14,1,1,c#,VI,,vii,o,43,,,FALSE
V65/VI,,60,3,240,2/2,131,14,1,1,c#,VI,,V,,65,,VI,FALSE
viio43/ii,,60,4,241,2/2,131,14,1,1.5,c#,VI,,vii,o,43,,ii,FALSE
ii6,,61,1.5,242.5,2/2,131,14,1,0.5,c#,VI,,ii,,6,,,FALSE
iii6,,61,2,243,2/2,131,14,1,0.5,c#,VI,,iii,,6,,,FALSE
IV6,,61,2.5,243.5,2/2,131,14,1,0.5,c#,VI,,IV,,6,,,FALSE
V65,,61,3,244,2/2,131,14,1,0.5,c#,VI,,V,,65,,,FALSE
I,,61,3.5,244.5,2/2,131,14,1,0.5,c#,VI,,I,,,,,FALSE
IV,,61,4,245,2/2,131,14,1,0.5,c#,VI,,IV,,,,,FALSE
V,,61,4.5,245.5,2/2,131,14,1,0.5,c#,VI,,V,,,,,FALSE
viio/ii,,62,1,246,2/2,131,14,1,1,c#,VI,,vii,o,,,ii,FALSE
iii64,,62,2,247,2/2,131,14,1,1,c#,VI,,iii,,64,,,FALSE
V7,,62,3,248,2/2,131,14,1,0.5,c#,VI,,V,,7,,,FALSE
V(64),,62,3.5,248.5,2/2,131,14,1,0.5,c#,VI,,V,,,64,,FALSE
V7,,62,4,249,2/2,131,14,1,1,c#,VI,,V,,7,,,FALSE
I[I,,63,1,250,2/2,131,14,1,2,c#,VI,I,I,,,,,FALSE
viio7/iii,,63,3,252,2/2,131,14,1,2,c#,VI,I,vii,o,7,,iii,FALSE
IV(#2),,64,1,254,2/2,131,14,1,2,c#,VI,I,IV,,,#2,,FALSE
IV,,64,3,256,2/2,131,14,1,2,c#,VI,I,IV,,,,,FALSE
I(6#4#2),,65,1,258,2/2,131,14,1,1,c#,VI,I,I,,,6#4#2,,FALSE
I,,65,2,259,2/2,131,14,1,1,c#,VI,I,I,,,,,FALSE
viio7/iii],,65,3,260,2/2,131,14,1,2,c#,VI,I,vii,o,7,,iii,FALSE
V6,,66,1,262,2/2,131,14,1,1,c#,VI,,V,,6,,,FALSE
V65,,66,2,263,2/2,131,14,1,1,c#,VI,,V,,65,,,FALSE
I,,66,3,264,2/2,131,14,1,1,c#,VI,,I,,,,,FALSE
I(42),,66,4,265,2/2,131,14,1,1,c#,VI,,I,,,42,,FALSE
I,,67,1,266,2/2,131,14,1,3,c#,VI,,I,,,,,FALSE
V6,,67,4,269,2/2,131,14,1,1,c#,VI,,V,,6,,,FALSE
I(4),,68,1,270,2/2,131,14,1,1,c#,VI,,I,,,4,,FALSE
I,,68,2,271,2/2,131,14,1,3,c#,VI,,I,,,,,FALSE
IV6,,69,1,274,2/2,131,14,1,4,c#,VI,,IV,,6,,,FALSE
vii(4),,70,1,278,2/2,131,14,1,1,c#,VI,,vii,,,4,,FALSE
vii,,70,2,279,2/2,131,14,1,3,c#,VI,,vii,,,,,FALSE
iii6,,71,1,282,2/2,131,14,1,3,c#,VI,,iii,,6,,,FALSE
V2,,71,4,285,2/2,131,14,1,1,c#,VI,,V,,2,,,FALSE
I,,72,1,286,2/2,131,14,1,1,c#,VI,,I,,,,,FALSE
ii7,,72,2,287,2/2,131,14,1,1,c#,VI,,ii,,7,,,FALSE
ii2,,72,3,288,2/2,131,14,1,1,c#,VI,,ii,,2,,,FALSE
V2/IV,,72,4,289,2/2,131,14,1,1,c#,VI,,V,,2,,IV,FALSE
IV\\\\,,73,1,290,2/2,131,14,1,4,c#,VI,,IV,,,,,TRUE
IV,,74,1,294,2/2,131,14,1,8,c#,VI,,IV,,,,,FALSE
V65/IV,,76,1,302,2/2,131,14,1,4,c#,VI,,V,,65,,IV,FALSE
vi6,,77,1,306,2/2,131,14,1,4,c#,VI,,vi,,6,,,FALSE
ii,,78,1,310,2/2,131,14,1,2,c#,VI,,ii,,,,,FALSE
V65/IV,,78,3,312,2/2,131,14,1,2,c#,VI,,V,,65,,IV,FALSE
IV,,79,1,314,2/2,131,14,1,4,c#,VI,,IV,,,,,FALSE
I6,,80,1,318,2/2,131,14,1,2,c#,VI,,I,,6,,,FALSE
V2,,80,3,320,2/2,131,14,1,2,c#,VI,,V,,2,,,FALSE
I,,81,1,322,2/2,131,14,1,3,c#,VI,,I,,,,,FALSE
i.V7,,81,4,325,2/2,131,14,1,1,c#,i,,V,,7,,,FALSE
VI2,,82,1,326,2/2,131,14,1,1,c#,i,,VI,,2,,,FALSE
i6,,82,2,327,2/2,131,14,1,2,c#,i,,i,,6,,,FALSE
V65,,82,4,329,2/2,131,14,1,1,c#,i,,V,,65,,,FALSE
V7(4),,83,1,330,2/2,131,14,1,1,c#,i,,V,,7,4,,FALSE
V43,,83,2,331,2/2,131,14,1,1,c#,i,,V,,43,,,FALSE
i,,83,3,332,2/2,131,14,1,1,c#,i,,i,,,,,FALSE
V65,,83,4,333,2/2,131,14,1,1,c#,i,,V,,65,,,FALSE
i,,84,1,334,2/2,131,14,1,1,c#,i,,i,,,,,FALSE
i6,,84,2,335,2/2,131,14,1,1,c#,i,,i,,6,,,FALSE
V43,,84,3,336,2/2,131,14,1,1,c#,i,,V,,43,,,FALSE
i,,84,4,337,2/2,131,14,1,1,c#,i,,i,,,,,FALSE
V43,,85,1,338,2/2,131,14,1,4,c#,i,,V,,43,,,FALSE
i6,,86,1,342,2/2,131,14,1,4,c#,i,,i,,6,,,FALSE
V7,,87,1,346,2/2,131,14,1,4,c#,i,,V,,7,,,FALSE
i,,88,1,350,2/2,131,14,1,2,c#,i,,i,,,,,FALSE
V43,,88,3,352,2/2,131,14,1,1,c#,i,,V,,43,,,FALSE
i6,,88,4,353,2/2,131,14,1,1,c#,i,,i,,6,,,FALSE
V6/iv,,89,1,354,2/2,131,14,1,1,c#,i,,V,,6,,iv,FALSE
V65/iv,,89,2,355,2/2,131,14,1,1,c#,i,,V,,65,,iv,FALSE
iv,,89,3,356,2/2,131,14,1,1,c#,i,,iv,,,,,FALSE
V43/iv,,89,4,357,2/2,131,14,1,1,c#,i,,V,,43,,iv,FALSE
iv6,,90,1,358,2/2,131,14,1,1,c#,i,,iv,,6,,,FALSE
.Ger6,,90,2,359,2/2,131,14,1,1,c#,i,,Ger,,6,,,FALSE
V(64),,90,3,360,2/2,131,14,1,1.5,c#,i,,V,,,64,,FALSE
V7,,90,4.5,361.5,2/2,131,14,1,2.5,c#,i,,V,,7,,,FALSE
i,,91,3,364,2/2,131,14,1,2,c#,i,,i,,,,,FALSE
i6,,92,1,366,2/2,131,14,1,2,c#,i,,i,,6,,,FALSE
V,,92,3,368,2/2,131,14,1,1,c#,i,,V,,,,,FALSE
V7,,92,4,369,2/2,131,14,1,1,c#,i,,V,,7,,,FALSE
V65,,93,1,370,2/2,131,14,1,2,c#,i,,V,,65,,,FALSE
iv.V,,93,3,372,2/2,131,14,1,2,c#,iv,,V,,,,,FALSE
III+,,94,1,374,2/2,131,14,1,2,c#,iv,,III,+,,,,FALSE
i6,,94,3,376,2/2,131,14,1,2,c#,iv,,i,,6,,,FALSE
VI6,,95,1,378,2/2,131,14,1,1,c#,iv,,VI,,6,,,FALSE
VI64,,95,2,379,2/2,131,14,1,1,c#,iv,,VI,,64,,,FALSE
iio,,95,3,380,2/2,131,14,1,1,c#,iv,,ii,o,,,,FALSE
