offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,form
231.0,0.0,0.25,1.75,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,1.0,5.0,Diminished
232.0,0.0,0.0,1.0,0.0,1.75,0.0,0.25,0.0,0.0,2.0,0.0,0.0,5.0,Diminished
233.0,0.0,0.5,0.5,0.0,1.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,4.0,Diminished
234.0,0.0,1.0,1.0,0.0,0.5,0.0,0.75,0.5,0.0,1.0,0.0,0.0,4.75,Diminished
235.0,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.25,0.0,3.0,0.0,0.0,5.25,Diminished
236.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,6.0,Diminished
237.0,0.0,0.0,2.5,0.0,0.0,0.0,1.5,0.0,0.0,2.0,0.0,0.0,6.0,Diminished
238.0,0.0,0.0,2.0,0.0,1.5,0.0,0.5,0.0,1.0,0.0,0.0,1.0,6.0,Diminished
239.0,0.0,0.0,2.0,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5,5.0,Diminished
240.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.0,0.5,6.0,Diminished
241.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.0,Diminished
242.0,0.0,0.0,2.0,0.0,1.5,0.0,0.5,0.0,1.25,0.0,0.0,1.75,7.0,Diminished
243.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,5.5,Minor
244.0,0.0,0.0,2.0,0.0,0.0,0.0,1.25,0.0,0.0,3.25,0.0,0.5,7.0,Minor
245.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,6.5,Minor
246.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,6.5,Minor
247.0,0.0,1.25,0.0,0.0,1.75,0.0,0.0,1.0,0.0,3.0,0.0,0.0,7.0,Minor
248.0,0.0,0.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,5.5,Minor
249.0,0.0,0.0,2.5,0.0,0.0,0.0,1.5,0.0,0.0,2.0,0.0,0.0,6.0,Minor
250.0,0.0,0.0,2.0,0.0,1.5,0.0,0.5,0.0,1.25,0.0,0.0,1.75,7.0,Minor
251.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,5.5,Minor
252.0,0.0,0.0,2.0,0.0,0.0,0.0,1.25,0.0,0.0,3.25,0.0,0.5,7.0,Minor
253.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,6.5,Minor
254.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,6.0,Minor
255.0,0.0,1.5,0.0,0.0,1.5,0.0,0.0,1.0,0.0,3.0,0.0,0.0,7.0,Minor
256.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,6.5,Minor
257.0,0.0,0.0,1.5,0.0,0.0,1.0,1.0,0.0,0.0,2.5,0.0,0.0,6.0,Minor
258.0,0.0,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,4.0,0.0,0.0,6.0,Minor
259.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,7.0,Minor
260.0,0.0,0.0,2.0,0.0,0.0,1.5,0.0,0.0,0.0,3.0,0.0,0.0,6.5,Minor
261.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,Minor
262.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,5.5,Minor
263.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.5,1.0,0.0,5.0,Minor
264.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.5,Minor
265.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,5.5,Minor
266.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,2.5,0.0,0.0,4.0,Minor
267.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.0,0.0,0.0,3.5,Minor
268.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,4.5,Minor
269.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,3.0,0.0,0.0,5.5,Minor
270.0,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.5,Minor
271.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,Minor
272.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,Minor
